
2024/12/17 (01:25:44) | ===> btop++ v.1.3.2
2024/12/17 (01:25:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (01:35:57) | ===> btop++ v.1.3.2
2024/12/17 (01:35:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (01:38:16) | ===> btop++ v.1.3.2
2024/12/17 (01:38:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (02:46:21) | ===> btop++ v.1.3.2
2024/12/17 (02:46:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (04:11:45) | ===> btop++ v.1.3.2
2024/12/17 (04:11:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (04:13:34) | ===> btop++ v.1.3.2
2024/12/17 (04:13:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (04:58:15) | ===> btop++ v.1.3.2
2024/12/17 (04:58:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (05:01:05) | ===> btop++ v.1.3.2
2024/12/17 (05:01:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (05:02:22) | ===> btop++ v.1.3.2
2024/12/17 (05:02:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (05:06:12) | ===> btop++ v.1.3.2
2024/12/17 (05:06:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (11:03:17) | ===> btop++ v.1.3.2
2024/12/17 (11:03:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (11:05:19) | ===> btop++ v.1.3.2
2024/12/17 (11:05:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (11:27:44) | ===> btop++ v.1.3.2
2024/12/17 (11:27:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (11:30:18) | ===> btop++ v.1.3.2
2024/12/17 (11:30:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (14:22:54) | ===> btop++ v.1.3.2
2024/12/17 (14:22:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (15:47:39) | ===> btop++ v.1.3.2
2024/12/17 (15:47:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/17 (16:22:05) | ===> btop++ v.1.3.2
2024/12/17 (16:22:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/18 (15:42:56) | ===> btop++ v.1.3.2
2024/12/18 (15:42:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/18 (15:43:34) | ===> btop++ v.1.3.2
2024/12/18 (15:43:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/18 (23:23:04) | ===> btop++ v.1.3.2
2024/12/18 (23:23:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/28 (09:21:22) | ===> btop++ v.1.4.0
2024/12/28 (09:21:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/28 (11:34:49) | ===> btop++ v.1.4.0
2024/12/28 (11:34:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/28 (16:20:52) | ===> btop++ v.1.4.0
2024/12/28 (16:20:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/28 (16:30:52) | ===> btop++ v.1.4.0
2024/12/28 (16:30:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/19 (15:14:25) | ===> btop++ v.1.4.0
2025/01/19 (15:14:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
